_id,ltable_ISBN13,rtable_ISBN13,ltable_Original_Title,ltable_Author,ltable_Publisher,ltable_Published_Date,rtable_Original_Title,rtable_Author,rtable_Publisher,rtable_Published_Date
3,9780006479901,9780553381702,A Storm of Swords: Steel and Snow,George R.R. Martin, HarperVoyager,2001,A Storm of Swords (A Song of Ice and Fire #3),George R. R. Martin,Random House Publishing Group,2002
4,9780006479901,9781101965481,A Storm of Swords: Steel and Snow,George R.R. Martin, HarperVoyager,2001,"George R. R. Martin's A Game of Thrones Leather-Cloth Boxed Set (Song of Ice and Fire Series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",George R. R. Martin,Random House Publishing Group,2015
13,9780006486015,9780553582444,Fool's Errand,Robin Hobb, Voyager,2002,Fool's Errand (Tawny Man Series #1),Robin Hobb,Random House Publishing Group,2002
15,9780006486015,9780553582468,Fool's Errand,Robin Hobb, Voyager,2002,Fool's Fate (Tawny Man Series #3),Robin Hobb,Random House Publishing Group,2004
18,9780007149827,9780007149834,The Yiddish Policemen's Union,Michael Chabon, HarperCollins,2007,The Yiddish Policemen's Union,Michael Chabon,HarperCollins Publishers,2008
22,9780007154616,9780060874407,Unless,Carol Shields, Fourth Estate (GB),2003,Unless,Carol Shields,HarperCollins Publishers,2006
24,9780007165162,9780446355452,Are You Afraid of the Dark?,Sidney Sheldon, HarperCollins Publishers,2005,Master of the Game,Sidney Sheldon,Grand Central Publishing,1988
25,9780007165162,9780446356619,Are You Afraid of the Dark?,Sidney Sheldon, HarperCollins Publishers,2005,Rage of Angels,Sidney Sheldon,Grand Central Publishing,1988
26,9780007165162,9780446357401,Are You Afraid of the Dark?,Sidney Sheldon, HarperCollins Publishers,2005,The Other Side of Midnight,Sidney Sheldon,Grand Central Publishing,1988
30,9780007165162,9780759567320,Are You Afraid of the Dark?,Sidney Sheldon, HarperCollins Publishers,2005,The Other Side of Me,Sidney Sheldon,Grand Central Publishing,2006
32,9780007178377,9780452296725,Remarkable Creatures,Tracy Chevalier, HarperCollins Publishers Ltd,2009,Remarkable Creatures,Tracy Chevalier,Penguin Publishing Group,2010
34,9780007191321,9780312378028,The Winter Rose,Jennifer Donnelly, Harper Collins,2006,The Tea Rose,Jennifer Donnelly,St. Martin's Press,2007
35,9780007191321,9781401307462,The Winter Rose,Jennifer Donnelly, Harper Collins,2006,The Winter Rose,Jennifer Donnelly,Hachette Books,2009
37,9780007201785,9780385342803,Bones of the Hills,Conn Iggulden, HarperCollins,2008,Genghis: Bones of the Hills (Khan Dynasty Series #3),Conn Iggulden,Random House Publishing Group,2010
38,9780007201785,9780385343015,Bones of the Hills,Conn Iggulden, HarperCollins,2008,Emperor: The Gates of Rome (Emperor Series #1),Conn Iggulden,Random House Publishing Group,2009
39,9780007201785,9780385343022,Bones of the Hills,Conn Iggulden, HarperCollins,2008,Emperor: The Death of Kings (Emperor Series #2),Conn Iggulden,Random House Publishing Group,2009
40,9780007201785,9780385344210,Bones of the Hills,Conn Iggulden, HarperCollins,2008,Genghis: Birth of an Empire (Khan Dynasty Series #1),Conn Iggulden,Random House Publishing Group,2010
41,9780007201785,9780425275443,Bones of the Hills,Conn Iggulden, HarperCollins,2008,Wars of the Roses: Stormbird,Conn Iggulden,Penguin Publishing Group,2015
42,9780007204885,9780060818548,Ingo,Helen Dunmore, Harper Collins Children's Books,2006,Ingo,Helen Dunmore,HarperCollins Publishers,2008
43,9780007208005,9780312378028,The Tea Rose,Jennifer Donnelly, Harper Collins Ltd,2006,The Tea Rose,Jennifer Donnelly,St. Martin's Press,2007
44,9780007208005,9781401307462,The Tea Rose,Jennifer Donnelly, Harper Collins Ltd,2006,The Winter Rose,Jennifer Donnelly,Hachette Books,2009
46,9780007219759,9780060888763,The Burning Land,Bernard Cornwell, HarperCollins,2009,The Burning Land (Last Kingdom Series #5) (Saxon Tales),Bernard Cornwell,HarperCollins Publishers,2010
53,9780007230204,9780312429980,Wolf Hall,Hilary Mantel, HarperCollins Publishers Ltd,2010,Wolf Hall,Hilary Mantel,Picador,2010
64,9780007271177,9780385342803,The Blood of Gods: A Novel of Rome,Conn Iggulden, Harper Collins,2013,Genghis: Bones of the Hills (Khan Dynasty Series #3),Conn Iggulden,Random House Publishing Group,2010
65,9780007271177,9780385343015,The Blood of Gods: A Novel of Rome,Conn Iggulden, Harper Collins,2013,Emperor: The Gates of Rome (Emperor Series #1),Conn Iggulden,Random House Publishing Group,2009
66,9780007271177,9780385343022,The Blood of Gods: A Novel of Rome,Conn Iggulden, Harper Collins,2013,Emperor: The Death of Kings (Emperor Series #2),Conn Iggulden,Random House Publishing Group,2009
67,9780007271177,9780385344210,The Blood of Gods: A Novel of Rome,Conn Iggulden, Harper Collins,2013,Genghis: Birth of an Empire (Khan Dynasty Series #1),Conn Iggulden,Random House Publishing Group,2010
68,9780007271177,9780425275443,The Blood of Gods: A Novel of Rome,Conn Iggulden, Harper Collins,2013,Wars of the Roses: Stormbird,Conn Iggulden,Penguin Publishing Group,2015
77,9780007273744,9780061561658,The Dragon Keeper,Robin Hobb, Voyager,2009,Dragon Keeper (Rain Wilds Chronicles #1),Robin Hobb,HarperCollins Publishers,2011
87,9780007302147,9780061240904,Skulduggery Pleasant: The Faceless Ones,Derek Landy, HarperCollins Children's Books,2009,Playing with Fire (Skulduggery Pleasant Series #2),Derek Landy,HarperCollins Publishers,2009
88,9780007302147,9780061240935,Skulduggery Pleasant: The Faceless Ones,Derek Landy, HarperCollins Children's Books,2009,The Faceless Ones (Skulduggery Pleasant Series #3),Derek Landy,HarperCollins Publishers,2010
89,9780007325948,9780061240904,Skulduggery Pleasant: Dark Days,Derek Landy, Harper Collins Children's,"March, 2010",Playing with Fire (Skulduggery Pleasant Series #2),Derek Landy,HarperCollins Publishers,2009
90,9780007325948,9780061240935,Skulduggery Pleasant: Dark Days,Derek Landy, Harper Collins Children's,"March, 2010",The Faceless Ones (Skulduggery Pleasant Series #3),Derek Landy,HarperCollins Publishers,2010
93,9780007331789,9780061149047,Death of Kings,Bernard Cornwell, HarperCollins Publishers,2011,Lords of the North (Last Kingdom Series #3) (Saxon Tales),Bernard Cornwell,HarperCollins Publishers,2008
97,9780007331789,9780312187149,Death of Kings,Bernard Cornwell, HarperCollins Publishers,2011,Enemy of God (Warlord Chronicles Series #2),Bernard Cornwell,St. Martin's Press,1998
110,9780007331901,9780061969720,The Pagan Lord,Bernard Cornwell, Harper Collins,2013,The Pagan Lord (Last Kingdom Series #7) (Saxon Tales),Bernard Cornwell,HarperCollins Publishers,2015
115,9780007335817,9780061561658,Dragon Haven,Robin Hobb, Voyager,2010,Dragon Keeper (Rain Wilds Chronicles #1),Robin Hobb,HarperCollins Publishers,2011
127,9780007343874,9780062060747,The Woodcutter,Reginald Hill, HarperCollins Publishers,2010,The Woodcutter,Reginald Hill,HarperCollins Publishers,2011
133,9780007442911,9780062388452,Insurgent,Veronica Roth, HarperCollins Children's Books,2012,Insurgent (B&N Exclusive Edition) (Divergent Series #2),Veronica Roth,HarperCollins Children's Books,2015
135,9780007466061,9781101965481,A Dance with Dragons: Dreams and Dust,George R.R. Martin, Harper Voyager,2012,"George R. R. Martin's A Game of Thrones Leather-Cloth Boxed Set (Song of Ice and Fire Series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",George R. R. Martin,Random House Publishing Group,2015
136,9780007466078,9781101965481,A Dance with Dragons: After the Feast,George R.R. Martin, Harper Voyager,2012,"George R. R. Martin's A Game of Thrones Leather-Cloth Boxed Set (Song of Ice and Fire Series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",George R. R. Martin,Random House Publishing Group,2015
137,9780007491438,9780594732037,The Shock of the Fall,Nathan Filer, Harper Collins,2013,The Shock of the Fall,Nathan Filer,St. Martin's Press,2015
148,9780007683086,9780446607209,Nothing Lasts Forever / Tell Me Your Dreams,Sidney Sheldon, HarperCollins,2003,Tell Me Your Dreams,Sidney Sheldon,Grand Central Publishing,1999
149,9780007683086,9780759567320,Nothing Lasts Forever / Tell Me Your Dreams,Sidney Sheldon, HarperCollins,2003,The Other Side of Me,Sidney Sheldon,Grand Central Publishing,2006
176,9780060012380,9780062237408,The Wee Free Men,Terry Pratchett, HarperTrophy,2004,Men at Arms (Discworld Series #15),Terry Pratchett,HarperCollins Publishers,2013
185,9780060082093,9781338201154,Mortal Engines,Philip Reeve, Harper Collins US UK,2005,"A Darkling Plain (Mortal Engines, Book 4)",Philip Reeve,"Scholastic, Inc.",2017
188,9780060278250,9780062315564,Abhorsen,Garth Nix, HarperTeen,2002,Lirael: Daughter of the Clayr (Abhorsen Series #2),Garth Nix,HarperCollins Publishers,2014
189,9780060278250,9780062315571,Abhorsen,Garth Nix, HarperTeen,2002,Abhorsen (Abhorsen Series #3),Garth Nix,HarperCollins Publishers,2014
190,9780060393496,9780061469084,The Hour I First Believed,Wally Lamb, Harper,2008,I Know This Much Is True,Wally Lamb,HarperCollins Publishers,2008
204,9780060502935,9780062334978,Going Postal,Terry Pratchett, HarperTorch,2005,Going Postal (Discworld Series #33),Terry Pratchett,HarperCollins Publishers,2014
216,9780060515126,9780060515133,The Plague of Doves,Louise Erdrich, HarperCollins,2008,The Plague of Doves,Louise Erdrich,HarperCollins Publishers,2009
243,9780060518059,9780887308581,Dilbert and the Way of the Weasel,Scott Adams, HarperBusiness,2002,"Dilbert Principle: A Cubicle's-Eye View of Bosses, Meetings, Management Fads and Other Workplace Afflictions",Scott Adams,HarperCollins Publishers,1997
244,9780060520762,9780060520762,The Children's Blizzard,David Laskin, Harper Perennial,2005,The Children's Blizzard,David Laskin,HarperCollins Publishers,2005
249,9780060525118,9780061479939,"Size 12 Is Not Fat (Heather Wells, #1)",Meg Cabot, William Morrow Paperbacks,2005,The Princess Diaries (Princess Diaries Series #1),Meg Cabot,HarperCollins Publishers,2008
254,9780060529703,9780544484009,Everything Is Illuminated,Jonathan Safran Foer, Harper Perennial,2003,Everything Is Illuminated,Jonathan Safran Foer,Houghton Mifflin Harcourt,2015
256,9780060530921,9780060530945,The Graveyard Book,Neil Gaiman, HarperCollins,2008,The Graveyard Book,Neil Gaiman,HarperCollins Publishers,2010
268,9780060534226,9780060534226,Mr. Timothy,Louis Bayard, William Morrow Paperbacks,2004,Mr. Timothy: A Novel,Louis Bayard,HarperCollins Publishers,2004
270,9780060535032,9788401342615,La ciudad de las bestias,Isabel Allende, Rayo,2004,De amor y de sombra,Isabel Allende,Penguin Random House Grupo Editorial España,2014
271,9780060541439,9780062439109,13 Little Blue Envelopes,Maureen Johnson, HarperTeen,2010,13 Little Blue Envelopes,Maureen Johnson,HarperCollins Publishers,2016
273,9780060542979,9780062277770,The Lost: A Search for Six of Six Million,Daniel Mendelsohn, Harper,2006,The Lost: A Search for Six of Six Million,Daniel Mendelsohn,HarperCollins Publishers,2013
