Original_Title,Author,ISBN13,Publisher,Published_Date
Harry Potter and the Deathly Hallows,J.K. Rowling,9780545010221, Scholastic Inc.,2007
Insurgent,Veronica Roth,9780007442911, HarperCollins Children's Books,2012
The Boy in the Striped Pyjamas,John Boyne,9780385751063, David Fickling Books,2006
Austerlitz,W.G. Sebald,9780140297997, Penguin Books Ltd,2002
Dreamfever,Karen Marie Moning,9780385341653, Delacorte Press,2009
The Thousand Autumns of Jacob de Zoet,David Mitchell,9781400065455, Random House,2010
The Invention of Wings,Sue Monk Kidd,9780670024780, Viking,2014
Divisadero,Michael Ondaatje,9780307266354, Knopf Publishing Group,2007
The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America,Russell Shorto,9781400078677, Vintage,2005
"Crank (Crank, #1)",Ellen Hopkins,9780689865190, Margaret K. McElderry Books,2004
"Why We Love Dogs, Eat Pigs, and Wear Cows: An Introduction to Carnism",Melanie Joy,9781573244619, Conari Press,2009
The Lonely Polygamist,Brady Udall,9780393339710, W. W. Norton & Company,2011
Everlost,Neal Shusterman,9780689872372, Simon & Schuster Books for Young Readers,2006
Rorschach's Ribs,Marcus Eder,9780982019825, Vicious Books,2008
Optimal Edge,Eugene Nwosu,9781606934883," Strategic Book Publishing & Rights Agency, LLC",2008
"Toys Go Out: Being the Adventures of a Knowledgeable Stingray, a Toughy Little Buffalo, and Someone Called Plastic",Emily Jenkins,9780375836046, Schwartz & Wade,2006
The Pagan Lord,Bernard Cornwell,9780007331901, Harper Collins,2013
The Gate House,Nelson DeMille,9780446533423, Grand Central Publishing,2008
Eating Animals,Jonathan Safran Foer,9780316069908," Little, Brown and Company",2009
Truly Madly Deeply... Memoirs of a broken heart's first love!,Faraaz Kazi,9788122311648, Cedar Books (Pustak Mahal),2010
The Great and Terrible Fury & Light,Chris Stewart,9781590386293, Shadow Mountain,2007
Spells,Aprilynne Pike,9780061668067, HarperTeen,2010
Hitman: My Real Life In The Cartoon World Of Wrestling,Bret Hart,9780307355669, Grand Central Publishing,2007
The Memory of Love,Aminatta Forna,9781408808139, Bloomsbury,2010
Sons of Fortune,Jeffrey Archer,9780330413350, Pan,2003
Magic Burns,Ilona Andrews,9780441015832, Penguin,"April, 2008"
The Golden Fool,Robin Hobb,9780553582451, Spectra,"December, 2003"
Debunking 9/11 Debunking: An Answer to Popular Mechanics and Other Defenders of the Official Conspiracy Theory,David Ray Griffin,9781844370696, Arris Books,2007
Blind Faith,Ben Elton,9780552773904, Black Swan,2008
הכלה המשחררת,A.B. Yehoshua,9780156030168, Mariner Books,2004
