1,9780006486015,Fool's Errand,Robin Hobb, Voyager,[u'2002\n'],9780553582444,Fool's Errand (Tawny Man Series #1),Robin Hobb,Random House Publishing Group,2002
2,9780007149827,The Yiddish Policemen's Union,Michael Chabon, HarperCollins,"[u'May', u'1st', u'2007\n']",9780007149834,The Yiddish Policemen's Union,Michael Chabon,HarperCollins Publishers,2008
3,9780007154616,Unless,Carol Shields, Fourth Estate (GB),"[u'May', u'1st', u'2003\n']",9780060874407,Unless,Carol Shields,HarperCollins Publishers,2006
4,9780007178377,Remarkable Creatures,Tracy Chevalier, HarperCollins Publishers Ltd,"[u'August', u'24th', u'2009\n']",9780452296725,Remarkable Creatures,Tracy Chevalier,Penguin Publishing Group,2010
5,9780007191321,The Winter Rose,Jennifer Donnelly, Harper Collins,"[u'November', u'30th', u'2006\n']",9781401307462,The Winter Rose,Jennifer Donnelly,Hachette Books,2009
6,9780007201785,Bones of the Hills,Conn Iggulden, HarperCollins,"[u'September', u'1st', u'2008\n']",9780385342803,Genghis: Bones of the Hills (Khan Dynasty Series #3),Conn Iggulden,Random House Publishing Group,2010
7,9780007204885,Ingo,Helen Dunmore, Harper Collins Children's Books,"[u'May', u'2nd', u'2006\n']",9780060818548,Ingo,Helen Dunmore,HarperCollins Publishers,2008
8,9780007208005,The Tea Rose,Jennifer Donnelly, Harper Collins Ltd,"[u'May', u'2nd', u'2006\n']",9780312378028,The Tea Rose,Jennifer Donnelly,St. Martin's Press,2007
9,9780007208005,The Tea Rose,Jennifer Donnelly, Harper Collins Ltd,"[u'May', u'2nd', u'2006\n']",9781401307462,The Winter Rose,Jennifer Donnelly,Hachette Books,2009
10,9780007219759,The Burning Land,Bernard Cornwell, HarperCollins,"[u'November', u'2nd', u'2009\n']",9780060888763,The Burning Land (Last Kingdom Series #5) (Saxon Tales),Bernard Cornwell,HarperCollins Publishers,2010
11,9780007230204,Wolf Hall,Hilary Mantel, HarperCollins Publishers Ltd,[u'2010\n'],9780312429980,Wolf Hall,Hilary Mantel,Picador,2010
12,9780007331901,The Pagan Lord,Bernard Cornwell, Harper Collins,"[u'September', u'26th', u'2013\n']",9780061969720,The Pagan Lord (Last Kingdom Series #7) (Saxon Tales),Bernard Cornwell,HarperCollins Publishers,2015
13,9780007343874,The Woodcutter,Reginald Hill, HarperCollins Publishers,"[u'July', u'20th', u'2010\n']",9780062060747,The Woodcutter,Reginald Hill,HarperCollins Publishers,2011
14,9780007442911,Insurgent,Veronica Roth, HarperCollins Children's Books,"[u'May', u'1st', u'2012\n']",9780062388452,Insurgent (B&N Exclusive Edition) (Divergent Series #2),Veronica Roth,HarperCollins Children's Books,2015
15,9780007491438,The Shock of the Fall,Nathan Filer, Harper Collins,"[u'May', u'9th', u'2013\n']",9780594732037,The Shock of the Fall,Nathan Filer,St. Martin's Press,2015
16,9780060278250,Abhorsen,Garth Nix, HarperTeen,"[u'December', u'31st', u'2002\n']",9780062315571,Abhorsen (Abhorsen Series #3),Garth Nix,HarperCollins Publishers,2014
