ID,Title,Author,ISBN13,Publication,Published_Date,Ratings,Genres,Reviews,Average_Rating,Language
1,Fool's Errand (Tawny Man Series #1),Robin Hobb,9780553582444,Random House Publishing Group,2002,"52,825","Fantasy, Fiction, Fantasy, High Fantasy, Science Fiction Fantasy","1,157",4.28,English
2,The Yiddish Policemen's Union,Michael Chabon,9780007149827, HarperCollins,2008,"50,351","Fiction, Mystery, Science Fiction, Science Fiction, Alternate History, Mystery, Crime","5,860",3.69,English
3,Unless,Carol Shields,9780007154616, Fourth Estate (GB),2006,"10,719","Fiction, Cultural, Canada",877,3.63,English
4,Remarkable Creatures,Tracy Chevalier,9780007178377, HarperCollins Publishers Ltd,2010,"31,582","Historical Fiction, Fiction, Historical, European Literature, British Literature, Literature, 19th Century, Adult Fiction, Womens, Audiobook, Book Club, Adult","3,674",3.8,English
5,The Winter Rose,Jennifer Donnelly,9780007191321, Harper Collins,2009,"14,609","Historical Fiction, Romance, Historical, Fiction, Romance, Historical Romance","1,197",4.3,English
6,Genghis: Bones of the Hills (Khan Dynasty Series #3),Conn Iggulden,9780385342803,Random House Publishing Group,2010,"12,327","Historical Fiction, Fiction, Historical, War",363,4.32,English
7,Ingo,Helen Dunmore,9780007204885, Harper Collins Children's Books,2008,"7,926","Fantasy, Mermaids, Young Adult, Adventure",658,3.93,English
8,The Tea Rose,Jennifer Donnelly,9780007208005, Harper Collins Ltd,2007,"23,854","Historical Fiction, Romance, Historical, Fiction, Romance, Historical Romance, Adult","2,408",4.17,English
9,The Winter Rose,Jennifer Donnelly,9781401307462,Hachette Books,2009,"23,854","Historical Fiction, Romance, Historical, Fiction, Romance, Historical Romance, Adult","2,408",4.17,English
10,The Burning Land (Last Kingdom Series #5) (Saxon Tales),Bernard Cornwell,9780060888763,HarperCollins Publishers,2010,"17,179","Historical Fiction, Fiction, Historical, Fantasy, European Literature, British Literature, Historical Fiction, Medieval, War, Adventure, Historical, Anglo Saxon, Audiobook",611,4.29,English
11,Wolf Hall,Hilary Mantel,9780007230204, HarperCollins Publishers Ltd,2010,"112,488","Historical Fiction, Fiction, Historical","12,515",3.84,English
12,The Pagan Lord (Last Kingdom Series #7) (Saxon Tales),Bernard Cornwell,9780061969720,HarperCollins Publishers,2015,"10,231","Historical Fiction, Fiction, Historical",723,4.33,English
13,The Woodcutter,Reginald Hill,9780007343874, HarperCollins Publishers,2011,"3,596","Mystery, Fiction, Mystery, Crime, Thriller, Audiobook, Thriller, Mystery Thriller",426,4.06,English
14,Insurgent (B&N Exclusive Edition) (Divergent Series #2),Veronica Roth,9780062388452,HarperCollins Children's Books,2015,"911,409","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","55,191",4.08,English
15,The Shock of the Fall,Nathan Filer,9780007491438, Harper Collins,2015,"30,738","Fiction, Contemporary, Health, Mental Health, Mental Health, Mental Illness","3,441",3.79,English
16,Abhorsen (Abhorsen Series #3),Garth Nix,9780062315571,HarperCollins Publishers,2014,"84,637","Fantasy, Young Adult, Fiction","1,667",4.28,English
17,Going Postal (Discworld Series #33),Terry Pratchett,9780062334978,HarperCollins Publishers,2014,"78,296","Fantasy, Fiction, Humor","2,152",4.35,English
18,The Plague of Doves,Louise Erdrich,9780060515126, HarperCollins,2009,"9,901","Fiction, Historical Fiction, Mystery, Novels","1,546",3.75,English
19,The Children's Blizzard,David Laskin,9780060520762, Harper Perennial,2005,"7,081","History, Nonfiction, North American Hi..., American History, Historical, Science",814,3.92,English
20,Everything Is Illuminated,Jonathan Safran Foer,9780060529703, Harper Perennial,2015,"139,766","Fiction, Historical Fiction, Contemporary, Novels, Literature, World War II, Holocaust, Literature, Jewish, Literature, American, Adult Fiction, Historical","6,833",3.9,English
